,B,I,H,M,Q,R
10,0,0,0,0,0,1
20,0,0,0,0,0,2
50,1,0,0,0,0,3
100,0,0,0,0,0,3
200,4,0,1,0,0,6
500,8,4,1,0,1,7
1000,12,6,1,3,1,10
2000,15,11,2,4,2,14
5000,57,14,3,5,4,19
10000,216,24,6,8,5,27
20000,913,54,9,12,9,37
50000,6027,284,14,22,16,72
100000,24514,1110,23,39,20,154
200000,,4586,39,64,29,297
500000,,28906,83,112,59,841
1000000,,,179,203,116,1793
2000000,,,399,384,229,4129
5000000,,,1218,960,577,11579
10000000,,,2831,1988,1183,24090
